Evaluations,Played,Time
818,6,0.24
763,6,0.05
1327,7,0.11
727,5,0.17
1856,6,0.18
1074,6,0.09
5504,6,0.65
4288,8,0.5
1524,8,0.13
1048,6,0.0800000000000001
1408,5,0.12
2688,7,0.27
1600,5,0.14
2624,6,0.25
2880,7,0.3
1469,7,0.16
1430,6,0.11
2432,6,0.25
816,5,0.0600000000000001
660,6,0.15
4992,4,0.52
3648,7,0.43
2432,6,0.23
1264,6,0.109999999999999
2816,6,0.31
1664,6,0.149999999999999
727,5,0.18
2560,5,0.260000000000001
1687,7,0.17
1984,5,0.18
1673,6,0.15
1856,6,0.19
1344,4,0.100000000000001
1454,6,0.12
1304,7,0.109999999999999
1264,6,0.12
2364,7,0.26
1225,6,0.23
1637,7,0.19
1856,6,0.18
459,4,0.15
1225,6,0.23
983,6,0.0800000000000001
957,5,0.199999999999999
768,4,0.0600000000000005
560,4,0.0400000000000009
74,4,0.00999999999999979
2619,7,0.27
768,4,0.0499999999999989
1840,6,0.190000000000001
3392,6,0.369999999999999
1723,7,0.32
1840,6,0.18
612,5,0.16
2432,6,0.23
3008,6,0.31
2624,6,0.289999999999999
2496,4,0.23
3584,6,0.369999999999999
1152,4,0.0800000000000001
1184,6,0.120000000000001
1648,6,0.16
1216,5,0.0800000000000001
3904,8,0.5
1984,5,0.19
2240,6,0.24
2672,7,0.279999999999999
963,6,0.109999999999999
4288,5,0.460000000000001
1225,6,0.25
1611,6,0.140000000000001
4736,9,0.569999999999999
2432,6,0.25
2496,7,0.24
3840,7,0.420000000000002
1378,7,0.25
1225,6,0.23
5312,9,0.649999999999999
1724,6,0.169999999999998
2432,6,0.270000000000003
1859,6,0.169999999999998
3008,6,0.300000000000001
457,4,0.0500000000000007
1086,6,0.0899999999999999
1856,6,0.169999999999998
3264,7,0.390000000000001
1072,5,0.23
2176,5,0.23
2596,7,0.27
1408,5,0.16
1980,7,0.199999999999999
3264,7,0.379999999999999
878,6,0.0899999999999999
2688,7,0.270000000000003
1072,5,0.219999999999999
2816,6,0.309999999999999
2432,6,0.240000000000002
1596,7,0.189999999999998
2048,6,0.190000000000001
1596,7,0.18
560,4,0.0500000000000007
1048,6,0.109999999999999
1481,7,0.140000000000001
2880,7,0.329999999999998
614,6,0.0500000000000007
1152,4,0.0800000000000018
1472,6,0.129999999999999
1152,4,0.0899999999999999
1408,5,0.120000000000001
983,6,0.109999999999999
1456,6,0.120000000000001
586,5,0.0899999999999999
1768,7,0.18
880,6,0.199999999999999
1608,7,0.289999999999999
2187,6,0.23
2688,7,0.260000000000002
4608,7,0.559999999999999
2432,6,0.25
2240,6,0.259999999999998
1053,6,0.100000000000001
3136,8,0.370000000000001
1408,5,0.16
5120,6,0.59
4608,7,0.529999999999998
3648,7,0.380000000000003
1396,6,0.149999999999999
3840,7,0.440000000000001
3072,7,0.309999999999999
1340,6,0.25
1915,6,0.310000000000002
1237,6,0.119999999999997
586,5,0.0399999999999991
2432,6,0.23
3968,9,0.470000000000002
1084,6,0.0899999999999999
1840,6,0.169999999999998
2688,7,0.289999999999999
3200,6,0.370000000000001
1408,5,0.120000000000001
5504,9,0.690000000000001
1344,4,0.109999999999999
3392,6,0.349999999999998
483,5,0.149999999999999
2443,7,0.270000000000003
3264,7,0.390000000000001
1152,4,0.140000000000001
2560,5,0.239999999999995
2385,7,0.230000000000004
2432,6,0.269999999999996
3840,7,0.460000000000001
3264,7,0.359999999999999
536,4,0.0400000000000063
2624,6,0.289999999999999
2432,6,0.269999999999996
4288,8,0.510000000000005
2072,7,0.18
5184,10,0.639999999999993
3072,7,0.390000000000001
1984,5,0.220000000000006
1600,5,0.149999999999999
2880,7,0.299999999999997
1472,6,0.100000000000001
1283,7,0.159999999999997
2048,6,0.210000000000001
1237,7,0.150000000000006
2624,6,0.309999999999995
1159,8,0.160000000000004
7168,11,0.909999999999997
793,5,0.130000000000003
751,6,0.189999999999998
3200,6,0.359999999999999
1340,6,0.25
727,5,0.18
2368,5,0.240000000000002
3264,7,0.350000000000001
1408,5,0.109999999999999
1664,6,0.170000000000002
1792,5,0.18
2880,7,0.289999999999999
1268,7,0.0899999999999963
562,4,0.0800000000000054
4352,9,0.489999999999995
4096,8,0.450000000000003
2564,8,0.259999999999998
3904,8,0.439999999999998
2048,6,0.220000000000006
4864,8,0.57
1558,6,0.18
1788,6,0.229999999999997
3648,7,0.460000000000001
854,6,0.119999999999997
1454,6,0.140000000000001
840,6,0.109999999999999
1110,6,0.219999999999999
1894,8,0.18
3072,7,0.340000000000003
614,4,0.0799999999999983
983,6,0.100000000000001
3904,8,0.43
611,5,0.0499999999999972
2516,7,0.25
4288,8,0.460000000000001
540,5,0.0399999999999991
3072,7,0.32
4165,5,0.420000000000002
2880,7,0.300000000000004
3264,7,0.390000000000001
314,5,0.029999999999994
2048,6,0.170000000000002
2176,5,0.200000000000003
1152,4,0.0899999999999963
971,6,0.0900000000000034
3648,7,0.420000000000002
1456,6,0.139999999999993
1768,7,0.18
2240,6,0.200000000000003
2816,6,0.329999999999998
3904,8,0.460000000000001
960,4,0.0799999999999983
3072,7,0.32
1377,6,0.120000000000005
507,5,0.149999999999999
1802,7,0.159999999999997
1008,5,0.0700000000000003
570,5,0.0800000000000054
1261,6,0.129999999999995
1203,6,0.100000000000001
3392,6,0.32
2240,6,0.200000000000003
2275,7,0.259999999999998
1792,5,0.149999999999999
2288,7,0.25
1268,7,0.0900000000000034
2560,5,0.269999999999996
4736,9,0.520000000000003
4736,9,0.57
4224,7,0.479999999999997
1984,5,0.189999999999998
4096,8,0.460000000000001
1408,5,0.120000000000005
4288,8,0.479999999999997
1408,5,0.140000000000001
4736,9,0.619999999999997
689,5,0.100000000000001
960,4,0.0600000000000023
2880,7,0.299999999999997
2240,6,0.200000000000003
2432,6,0.240000000000002
1344,4,0.119999999999997
1443,6,0.140000000000001
507,5,0.170000000000002
2048,6,0.210000000000001
1184,6,0.0899999999999963
2432,6,0.240000000000002
1200,5,0.129999999999995
4224,7,0.530000000000001
2240,6,0.230000000000004
3264,7,0.359999999999999
1187,6,0.129999999999995
1200,5,0.120000000000005
957,5,0.219999999999999
1152,4,0.0899999999999963
459,4,0.160000000000004
1570,6,0.289999999999999
358,5,0.160000000000004
3648,7,0.43
1728,4,0.169999999999995
610,5,0.0600000000000023
1546,6,0.149999999999999
1152,4,0.0900000000000034
3584,6,0.409999999999997
3328,8,0.359999999999999
2240,6,0.219999999999999
1792,5,0.159999999999997
622,5,0.170000000000002
2240,6,0.260000000000005
3072,7,0.349999999999994
961,4,0.0800000000000125
1984,5,0.189999999999998
3520,8,0.399999999999991
1792,5,0.170000000000002
1792,5,0.159999999999997
1053,6,0.0700000000000074
1792,5,0.159999999999997
3584,6,0.379999999999995
2432,6,0.27000000000001
1340,6,0.280000000000001
2240,6,0.269999999999996
1086,6,0.0799999999999983
2173,7,0.25
2240,6,0.230000000000004
1984,5,0.179999999999993
842,5,0.200000000000003
817,6,0.0999999999999943
1826,7,0.200000000000003
1792,5,0.170000000000002
3776,6,0.430000000000007
2305,7,0.269999999999996
1792,5,0.159999999999997
3072,7,0.320000000000007
2176,5,0.22999999999999
2048,6,0.230000000000004
1216,5,0.140000000000001
1472,6,0.140000000000001
4352,9,0.510000000000005
2367,6,0.22999999999999
3904,8,0.480000000000004
2432,6,0.25
2880,7,0.290000000000006
1856,6,0.149999999999991
310,4,0.0200000000000102
4032,7,0.5
3264,7,0.399999999999991
3840,7,0.430000000000007
2240,6,0.199999999999989
1328,6,0.150000000000006
1608,7,0.280000000000001
483,5,0.189999999999998
5632,8,0.629999999999995
1840,6,0.170000000000002
3209,8,0.329999999999998
1408,5,0.13000000000001
3136,8,0.319999999999993
1378,7,0.25
1811,8,0.189999999999998
2688,7,0.280000000000001
1891,6,0.190000000000012
2209,8,0.239999999999995
3456,7,0.370000000000005
1024,5,0.0699999999999932
1225,6,0.219999999999999
1903,7,0.200000000000003
3904,8,0.480000000000004
1600,5,0.179999999999993
2432,6,0.269999999999996
3904,8,0.480000000000004
409,3,0.0499999999999972
2688,7,0.300000000000011
2624,6,0.299999999999997
2752,5,0.25
1816,6,0.159999999999997
878,6,0.0999999999999943
4224,7,0.5
1536,4,0.140000000000001
1661,6,0.150000000000006
2880,7,0.290000000000006
945,5,0.0999999999999943
1723,7,0.310000000000002
3136,8,0.36999999999999
1455,6,0.260000000000005
4800,7,0.540000000000006
6784,5,0.75
3648,7,0.469999999999999
1290,5,0.11999999999999
612,5,0.160000000000011
4480,8,0.489999999999995
2240,6,0.25
407,4,0.150000000000006
1216,5,0.109999999999999
1600,5,0.129999999999995
1340,6,0.25
3072,7,0.329999999999998
2048,6,0.230000000000004
2056,7,0.209999999999994
842,5,0.189999999999998
235,7,0.150000000000006
2944,5,0.329999999999998
2496,7,0.25
1711,7,0.189999999999998
2880,7,0.320000000000007
6400,8,0.849999999999994
2624,6,0.299999999999997
483,5,0.150000000000006
1845,7,0.189999999999998
1984,5,0.170000000000002
2496,7,0.219999999999999
1110,6,0.200000000000003
1209,7,0.0900000000000034
2048,6,0.209999999999994
1200,5,0.0799999999999983
2148,6,0.189999999999998
3027,8,0.320000000000007
1792,5,0.179999999999993
1268,7,0.0900000000000034
1788,6,0.219999999999999
3264,7,0.359999999999999
1512,6,0.200000000000003
2688,7,0.269999999999996
3264,7,0.329999999999998
2038,7,0.200000000000003
3072,7,0.340000000000003
779,7,0.0600000000000023
1624,6,0.159999999999997
727,5,0.170000000000002
957,5,0.189999999999998
2432,6,0.260000000000005
1545,5,0.140000000000001
1261,6,0.0799999999999983
642,6,0.0900000000000034
3008,6,0.339999999999989
3264,7,0.38000000000001
1856,6,0.189999999999998
564,5,0.039999999999992
4096,8,0.430000000000007
2808,8,0.269999999999996
2240,6,0.219999999999999
4864,8,0.540000000000006
406,5,0.159999999999997
2048,6,0.189999999999998
2560,5,0.260000000000005
1408,5,0.129999999999995
2432,6,0.240000000000009
1086,6,0.0799999999999983
1408,5,0.0899999999999892
1455,6,0.260000000000005
566,5,0.0499999999999972
2397,6,0.219999999999999
1826,7,0.210000000000008
1410,5,0.140000000000001
1546,6,0.140000000000001
1840,6,0.149999999999991
1984,5,0.189999999999998
1856,6,0.180000000000007
2240,6,0.230000000000004
1378,7,0.239999999999995
4480,8,0.560000000000002
1600,5,0.170000000000002
995,6,0.200000000000003
3072,7,0.339999999999989
2432,6,0.27000000000001
4480,8,0.509999999999991
2560,5,0.260000000000005
816,5,0.0499999999999972
3648,7,0.370000000000005
3067,7,0.319999999999993
2068,7,0.310000000000002
306,3,0.159999999999997
1984,5,0.160000000000011
2564,8,0.269999999999996
1152,4,0.0999999999999943
304,3,0.0200000000000102
2816,6,0.319999999999993
1941,7,0.219999999999999
1800,6,0.189999999999998
4288,8,0.510000000000005
3072,7,0.310000000000002
2176,5,0.189999999999998
2004,8,0.209999999999994
2240,6,0.210000000000008
564,5,0.0499999999999972
2816,6,0.299999999999997
2816,6,0.290000000000006
1410,5,0.129999999999995
2688,7,0.269999999999996
3648,7,0.410000000000011
3712,8,0.399999999999991
560,4,0.0900000000000034
4608,7,0.519999999999996
1652,7,0.140000000000001
3072,7,0.320000000000007
614,4,0.039999999999992
4352,9,0.540000000000006
960,4,0.0900000000000034
4992,7,0.579999999999998
1611,6,0.140000000000001
3648,7,0.409999999999997
1714,6,0.209999999999994
957,5,0.210000000000008
4672,8,0.549999999999997
3264,7,0.349999999999994
4032,7,0.440000000000012
2368,5,0.22999999999999
704,3,0.0499999999999972
1984,5,0.200000000000003
1110,6,0.219999999999999
2048,6,0.219999999999999
1600,5,0.160000000000011
727,5,0.189999999999998
727,5,0.170000000000002
1536,4,0.129999999999995
2231,7,0.219999999999999
4928,6,0.560000000000002
3264,7,0.370000000000005
1460,7,0.149999999999991
2432,6,0.25
2672,7,0.290000000000006
2176,5,0.22999999999999
1134,7,0.220000000000013
3264,7,0.36999999999999
512,3,0.0400000000000063
1408,5,0.0900000000000034
1555,7,0.11999999999999
1792,5,0.13000000000001
2496,7,0.259999999999991
842,6,0.0600000000000023
2816,6,0.269999999999996
1776,5,0.160000000000011
3392,6,0.36999999999999
2048,6,0.210000000000008
2240,6,0.209999999999994
3072,7,0.299999999999997
660,6,0.170000000000002
612,5,0.170000000000002
3712,8,0.370000000000005
1213,6,0.109999999999999
2880,7,0.289999999999992
2816,6,0.260000000000005
842,5,0.189999999999998
1098,6,0.120000000000005
511,6,0.159999999999997
3328,8,0.390000000000001
2840,7,0.329999999999998
960,4,0.0700000000000074
3904,8,0.420000000000002
3520,8,0.36999999999999
945,5,0.0900000000000034
1344,4,0.109999999999999
2688,7,0.260000000000005
5248,8,0.689999999999998
1110,6,0.230000000000004
3520,8,0.409999999999997
2880,7,0.310000000000002
2564,8,0.269999999999996
1723,7,0.310000000000002
1082,5,0.0899999999999892
947,5,0.0600000000000023
1408,5,0.150000000000006
1493,7,0.269999999999996
2240,6,0.260000000000005
1478,7,0.120000000000005
2240,6,0.25
5696,9,0.699999999999989
1788,6,0.189999999999998
574,4,0.170000000000016
1242,6,0.0999999999999943
3648,7,0.370000000000005
820,6,0.0600000000000023
2624,6,0.259999999999991
1377,6,0.129999999999995
715,5,0.039999999999992
3136,8,0.320000000000022
2480,7,0.25
4416,7,0.579999999999984
4096,8,0.5
3297,8,0.420000000000016
1008,5,0.0799999999999841
1378,7,0.240000000000009
2048,6,0.199999999999989
2816,6,0.320000000000022
1225,6,0.239999999999981
1768,7,0.189999999999998
1098,6,0.120000000000005
1600,5,0.140000000000015
1340,6,0.25
2752,8,0.269999999999982
842,5,0.189999999999998
2096,7,0.180000000000007
1408,5,0.110000000000014
960,4,0.0699999999999932
792,5,0.0600000000000023
727,5,0.180000000000007
1984,5,0.199999999999989
3288,8,0.389999999999986
768,4,0.0500000000000114
2432,6,0.240000000000009
2496,7,0.269999999999982
1152,4,0.100000000000023
928,5,0.0699999999999932
3456,7,0.379999999999995
3264,7,0.379999999999995
1664,6,0.159999999999997
2176,5,0.200000000000017
3200,6,0.329999999999984
4480,8,0.52000000000001
304,3,0.0300000000000011
1290,5,0.109999999999985
1648,6,0.140000000000015
256,2,0.0199999999999818
2250,7,0.25
2368,5,0.25
768,4,0.0700000000000216
1366,7,0.0999999999999943
2816,6,0.289999999999992
459,4,0.170000000000016
1916,7,0.169999999999987
2880,4,0.27000000000001
2736,8,0.259999999999991
483,5,0.150000000000006
2320,6,0.219999999999999
1826,7,0.169999999999987
2880,7,0.280000000000001
1648,6,0.140000000000015
2432,6,0.22999999999999
2304,7,0.199999999999989
1664,6,0.170000000000016
1216,5,0.0799999999999841
1664,6,0.170000000000016
1340,6,0.25
2415,8,0.240000000000009
1792,5,0.159999999999997
4416,7,0.530000000000001
2816,6,0.289999999999992
1546,6,0.169999999999987
1455,6,0.260000000000019
406,5,0.159999999999997
304,3,0.0499999999999829
1264,6,0.110000000000014
1840,6,0.159999999999997
1264,7,0.120000000000005
2560,5,0.240000000000009
2240,6,0.199999999999989
3648,7,0.389999999999986
1216,5,0.0800000000000125
459,4,0.150000000000006
2048,6,0.189999999999998
1709,7,0.129999999999995
3136,5,0.300000000000011
3584,6,0.409999999999997
2944,8,0.289999999999992
4160,6,0.439999999999998
3200,6,0.330000000000013
1710,7,0.129999999999995
3456,7,0.379999999999995
610,5,0.0600000000000023
2688,7,0.27000000000001
2688,7,0.269999999999982
1664,6,0.180000000000007
1024,5,0.0500000000000114
1088,3,0.0799999999999841
2432,6,0.219999999999999
2240,6,0.230000000000018
3072,7,0.339999999999975
2052,6,0.210000000000008
960,4,0.0999999999999943
870,5,0.0500000000000114
803,6,0.189999999999998
1493,7,0.27000000000001
820,6,0.0499999999999829
2736,8,0.300000000000011
816,5,0.0999999999999943
2432,6,0.25
1826,7,0.219999999999999
2240,6,0.210000000000008
1378,7,0.239999999999981
4480,8,0.560000000000002
78,5,0.0300000000000011
564,5,0.0200000000000102
1431,6,0.129999999999995
1152,4,0.0699999999999932
880,6,0.189999999999998
4928,9,0.570000000000022
2428,8,0.269999999999982
1648,6,0.150000000000006
2368,5,0.200000000000017
1176,5,0.089999999999975
458,5,0.160000000000025
1012,6,0.0999999999999943
816,5,0.039999999999992
3008,6,0.330000000000013
1493,7,0.269999999999982
4672,8,0.54000000000002
792,5,0.089999999999975
816,5,0.0400000000000205
1584,7,0.169999999999987
3840,7,0.420000000000016
1600,5,0.139999999999986
3520,8,0.390000000000015
3072,7,0.319999999999993
3712,8,0.400000000000006
1768,7,0.179999999999978
3072,7,0.300000000000011
612,5,0.169999999999987
2560,5,0.280000000000001
3712,8,0.439999999999998
1856,6,0.170000000000016
2240,6,0.22999999999999
3456,7,0.360000000000014
981,6,0.0799999999999841
614,4,0.0300000000000011
1600,5,0.129999999999995
3072,7,0.330000000000013
256,2,0.0200000000000102
2816,6,0.280000000000001
1106,6,0.089999999999975
1152,4,0.110000000000014
3072,7,0.289999999999992
1328,6,0.120000000000005
1344,4,0.110000000000014
2048,6,0.199999999999989
2688,7,0.280000000000001
2624,6,0.27000000000001
1408,5,0.139999999999986
1984,5,0.189999999999998
486,7,0.159999999999997
2048,6,0.210000000000008
4160,6,0.439999999999998
1225,6,0.22999999999999
4160,6,0.440000000000026
2304,7,0.22999999999999
818,5,0.0499999999999829
1316,6,0.110000000000014
894,6,0.0800000000000125
3200,6,0.329999999999984
4864,5,0.5
1792,5,0.170000000000016
1600,5,0.159999999999997
2624,6,0.280000000000001
2432,6,0.259999999999991
3072,7,0.319999999999993
574,4,0.170000000000016
1664,6,0.119999999999976
1098,6,0.130000000000024
3072,7,0.359999999999985
1984,5,0.189999999999998
3072,7,0.300000000000011
2304,7,0.240000000000009
2624,6,0.259999999999991
512,3,0.0300000000000011
1008,5,0.0600000000000023
1608,7,0.259999999999991
960,4,0.0900000000000034
957,6,0.0999999999999943
1110,6,0.219999999999999
995,6,0.200000000000017
2643,7,0.259999999999991
354,4,0.150000000000006
3072,7,0.310000000000002
1984,5,0.179999999999978
995,6,0.210000000000008
2248,6,0.22999999999999
1344,4,0.110000000000014
5312,9,0.599999999999994
1690,7,0.159999999999997
330,4,0.150000000000006
2624,6,0.289999999999992
1600,5,0.130000000000024
1340,6,0.25
3776,6,0.389999999999986
2368,5,0.219999999999999
4352,6,0.5
1240,6,0.110000000000014
1328,6,0.129999999999995
1443,6,0.129999999999995
1723,7,0.280000000000001
1110,6,0.219999999999999
3456,7,0.389999999999986
2443,7,0.27000000000001
995,6,0.210000000000008
1072,5,0.20999999999998
1499,8,0.150000000000006
1600,5,0.120000000000005
1792,5,0.159999999999997
3200,6,0.319999999999993
1695,7,0.150000000000006
1098,6,0.110000000000014
984,5,0.0799999999999841
