Evaluations,Played,Time
5696,6,0.78
1405,5,0.15
5120,6,0.56
2385,6,0.36
6336,7,0.77
2592,6,0.32
2478,6,0.26
2823,6,0.29
9856,8,1.18
9280,8,1.2
4736,6,0.56
2880,4,0.300000000000001
2752,5,0.279999999999999
4672,5,0.470000000000001
752,4,0.0599999999999996
1974,6,0.22
2752,5,0.279999999999999
3595,6,0.390000000000001
5696,6,0.630000000000001
306,3,0.16
9856,8,1.12
5504,6,0.620000000000001
3712,5,0.369999999999999
5312,6,0.630000000000001
4795,8,0.59
4544,6,0.539999999999999
469,4,0.17
4352,6,0.5
4864,5,0.529999999999999
3264,4,0.300000000000001
2966,5,0.290000000000001
4976,7,0.6
4096,5,0.43
3328,5,0.34
2804,6,0.32
4736,6,0.559999999999999
1865,5,0.23
1901,6,0.310000000000002
5696,6,0.669999999999998
441,5,0.0700000000000003
1082,5,0.219999999999999
2490,6,0.380000000000003
2032,6,0.199999999999999
3180,6,0.469999999999999
7296,7,0.850000000000001
6272,6,0.709999999999997
66,3,0.0200000000000031
7744,8,0.939999999999998
6272,6,0.710000000000001
1728,4,0.18
3136,5,0.34
1609,4,0.280000000000001
6080,6,0.719999999999999
3295,6,0.48
6016,5,0.620000000000001
2198,5,0.23
5888,6,0.669999999999998
9856,8,1.15
4224,4,0.41
5248,5,0.520000000000003
1623,5,0.169999999999998
4352,6,0.490000000000002
3328,5,0.34
728,4,0.0899999999999999
9856,8,1.14
4928,6,0.610000000000003
4344,8,0.479999999999997
3375,6,0.399999999999999
5504,6,0.600000000000001
2296,6,0.380000000000003
3712,5,0.399999999999999
8064,7,0.910000000000004
6336,7,0.729999999999997
792,4,0.0799999999999983
4480,5,0.460000000000001
3410,6,0.469999999999999
2605,6,0.410000000000004
9600,7,1.09
10624,8,1.24
3712,5,0.420000000000002
5312,6,0.579999999999998
5632,5,0.579999999999998
949,6,0.0799999999999983
3666,7,0.430000000000007
5312,6,0.609999999999999
2224,6,0.25
2490,6,0.369999999999997
1508,5,0.159999999999997
4580,7,0.550000000000004
6272,6,0.729999999999997
758,5,0.100000000000001
2466,6,0.280000000000001
4336,6,0.5
5504,6,0.630000000000003
3678,7,0.539999999999999
4544,6,0.559999999999995
2800,6,0.300000000000004
3876,6,0.449999999999996
3091,7,0.32
4736,6,0.57
5355,6,0.609999999999999
3136,5,0.350000000000001
9088,8,1.09
4096,5,0.469999999999999
944,4,0.0799999999999983
10688,9,1.29
7104,7,0.870000000000005
5936,7,0.709999999999994
7680,7,0.890000000000001
3435,6,0.440000000000005
3425,6,0.359999999999999
2708,6,0.309999999999995
3328,5,0.390000000000001
2883,7,0.420000000000002
737,5,0.200000000000003
6144,7,0.719999999999999
1584,5,0.149999999999999
6528,7,0.780000000000001
1536,4,0.149999999999999
6528,7,0.780000000000001
3776,6,0.460000000000001
2727,6,0.350000000000001
3520,5,0.399999999999999
5120,6,0.579999999999998
433,4,0.0499999999999972
5120,6,0.57
3501,7,0.400000000000006
6144,7,0.719999999999999
2659,5,0.269999999999996
2835,6,0.420000000000002
1992,5,0.32
826,4,0.0700000000000003
4928,6,0.550000000000004
4672,5,0.47999999999999
3984,7,0.450000000000003
1136,4,0.109999999999999
4525,7,0.490000000000009
6144,7,0.75
4992,7,0.640000000000001
844,6,0.0899999999999892
3776,6,0.430000000000007
2624,3,0.239999999999995
6336,7,0.730000000000004
1992,5,0.349999999999994
