Played,Evaluations,Time
394,4,0.17
2432,5,0.25
1625,5,0.17
3616,6,0.4
2595,6,0.29
2368,6,0.25
2094,6,0.23
765,5,0.0799999999999998
1632,4,0.15
4000,6,0.46
5024,8,0.57
4192,6,0.43
3136,6,0.33
2752,6,0.29
1884,6,0.199999999999999
3552,7,0.390000000000001
2240,5,0.23
3136,6,0.33
446,4,0.0499999999999998
2720,5,0.28
2848,6,0.32
3328,6,0.36
2560,6,0.25
1198,5,0.119999999999999
3520,6,0.380000000000001
2048,5,0.199999999999999
3808,6,0.4
746,5,0.0800000000000001
1952,5,0.2
2944,6,0.319999999999999
749,5,0.0700000000000003
864,4,0.0800000000000001
652,5,0.0700000000000003
1472,5,0.139999999999999
2368,6,0.270000000000001
2528,5,0.27
1663,5,0.17
1664,5,0.17
3520,6,0.380000000000001
152,3,0.0199999999999996
2816,5,0.289999999999999
2432,5,0.25
3040,6,0.33
2048,5,0.220000000000001
1644,6,0.17
1290,5,0.130000000000001
1664,5,0.18
1856,5,0.19
2240,5,0.23
2656,6,0.27
2656,6,0.289999999999999
1952,5,0.210000000000001
1952,5,0.199999999999999
3136,6,0.350000000000001
1807,5,0.18
3136,6,0.35
1085,5,0.109999999999999
2752,6,0.300000000000001
490,5,0.0499999999999989
1152,4,0.110000000000001
1325,5,0.129999999999999
1664,5,0.17
2072,6,0.23
2048,5,0.210000000000001
2048,5,0.209999999999999
2144,5,0.23
3008,5,0.31
3936,7,0.42
1920,4,0.199999999999999
1728,4,0.170000000000002
3648,7,0.419999999999998
1568,5,0.16
1518,5,0.149999999999999
3624,7,0.420000000000002
3584,5,0.370000000000001
9920,5,1.06
2368,6,0.27
1368,5,0.129999999999999
3584,5,0.380000000000003
3232,6,0.349999999999998
3424,6,0.380000000000003
2144,5,0.219999999999999
2848,6,0.300000000000001
70,4,0.00999999999999801
2240,5,0.210000000000001
2912,5,0.289999999999999
4096,6,0.440000000000001
1728,4,0.16
1216,3,0.120000000000001
2624,5,0.25
74,4,0
