Evaluations,Played,Time
1246,5,0.26
1598,4,0.18
6400,6,0.69
2621,5,0.33
2862,5,0.36
4736,5,0.53
4238,6,0.49
4736,5,0.55
5504,5,0.55
7168,6,0.76
10752,7,1.21
11904,7,1.33
3456,4,0.33
6400,6,0.67
6400,6,0.67
3456,4,0.34
3584,5,0.34
5888,5,0.59
3968,5,0.470000000000001
5120,5,0.5
3968,5,0.44
2813,5,0.32
11136,7,1.36
6400,6,0.77
4352,5,0.450000000000001
7552,6,0.799999999999999
9472,6,1.02
1790,4,0.220000000000002
4736,5,0.539999999999999
7168,6,0.809999999999999
7168,6,0.859999999999999
4736,5,0.550000000000001
3591,6,0.359999999999999
7168,6,0.82
4141,6,0.470000000000002
5888,5,0.689999999999998
7552,6,0.870000000000001
5504,5,0.629999999999999
6400,6,0.760000000000002
5120,5,0.599999999999998
7936,6,0.890000000000001
6016,6,0.720000000000002
8320,6,1.03
7168,6,0.880000000000003
6784,6,0.819999999999997
2622,5,0.280000000000001
6400,6,0.760000000000002
6400,6,0.77
1798,5,0.18
3005,5,0.34
4352,5,0.469999999999999
7936,6,0.919999999999998
6400,6,0.770000000000003
6400,6,0.740000000000002
2441,6,0.329999999999998
5888,5,0.670000000000002
1798,5,0.18
5888,5,0.649999999999999
8320,6,0.950000000000003
8192,5,0.959999999999994
2669,5,0.340000000000003
9088,6,1.08
6784,6,0.789999999999999
2829,6,0.340000000000003
7552,6,0.850000000000001
7168,6,0.839999999999996
5504,5,0.560000000000002
7936,6,0.839999999999996
4736,5,0.539999999999999
7168,6,0.82
4736,5,0.550000000000004
2876,6,0.359999999999999
3840,4,0.350000000000001
2959,5,0.289999999999999
7168,6,0.759999999999998
8320,6,0.880000000000003
6784,6,0.769999999999996
7936,6,0.870000000000005
5120,5,0.559999999999995
5504,5,0.590000000000003
9600,7,1.03
7040,5,0.710000000000001
4608,4,0.43
70,4,0.019999999999996
6272,5,0.620000000000005
5168,6,0.5
3888,5,0.359999999999999
5504,5,0.529999999999994
7040,5,0.700000000000003
5888,5,0.579999999999998
78,5,0.0300000000000011
6656,5,0.649999999999999
2736,5,0.230000000000004
5120,5,0.489999999999995
5504,5,0.560000000000002
1456,4,0.109999999999999
536,3,0.0700000000000003
2813,5,0.340000000000003
5504,5,0.539999999999999
7808,5,0.810000000000002
3968,5,0.439999999999998
2991,6,0.32
3200,5,0.359999999999999
1072,4,0.149999999999999
3102,5,0.289999999999999
5120,5,0.590000000000003
1840,4,0.149999999999999
2736,5,0.219999999999999
2736,5,0.310000000000002
6272,5,0.75
572,5,0.140000000000001
4352,5,0.480000000000004
5504,5,0.589999999999989
2712,5,0.300000000000011
3840,4,0.349999999999994
6784,6,0.700000000000003
1519,5,0.179999999999993
1462,5,0.180000000000007
5120,5,0.569999999999993
3072,4,0.359999999999999
5120,5,0.510000000000005
4861,6,0.539999999999992
11520,7,1.24000000000001
9472,6,1.00999999999999
3504,5,0.400000000000006
7168,6,0.829999999999998
9088,6,1.12
1814,5,0.260000000000005
4352,5,0.409999999999997
6272,5,0.61999999999999
3102,5,0.300000000000011
4248,5,0.399999999999991
7552,6,0.859999999999999
5504,5,0.590000000000003
3456,4,0.340000000000003
6016,6,0.629999999999995
3328,3,0.310000000000002
6912,4,0.689999999999998
14208,7,1.58
68,4,0.0200000000000102
8320,6,0.86999999999999
4992,4,0.469999999999999
2224,4,0.180000000000007
7808,5,0.769999999999996
767,3,0.0499999999999972
11392,6,1.24000000000001
1790,4,0.179999999999993
9216,7,1
2328,5,0.219999999999999
5120,5,0.530000000000001
7168,6,0.780000000000001
5120,5,0.530000000000001
11904,7,1.29000000000001
82,6,0.0299999999999869
4224,4,0.38000000000001
5760,4,0.569999999999993
3120,5,0.27000000000001
7424,5,0.779999999999987
1792,3,0.140000000000001
568,4,0.0300000000000011
7552,6,0.790000000000006
1840,4,0.150000000000006
4352,5,0.439999999999998
3840,4,0.349999999999994
3968,5,0.379999999999995
4352,5,0.460000000000008
6656,5,0.700000000000003
1838,5,0.189999999999998
4206,5,0.399999999999991
7040,5,0.730000000000004
8320,6,0.930000000000007
5808,5,0.599999999999994
2352,5,0.209999999999994
6784,6,0.740000000000009
7168,6,0.780000000000001
5888,5,0.649999999999991
5504,5,0.560000000000002
6272,5,0.650000000000006
9984,7,1.19
5120,5,0.510000000000005
