Evaluations,Played,Time
2559,4,0.29
3072,4,0.16
3072,4,0.15
5888,6,0.51
3072,4,0.34
6656,6,0.61
4096,5,0.21
4096,5,0.19
38,4,0.0600000000000001
3072,4,0.14
3072,4,0.15
3072,4,0.14
3072,4,0.15
32,3,0.0600000000000001
4096,5,0.2
2048,3,0.13
3072,4,0.17
3072,4,0.16
3072,4,0.18
3072,4,0.17
2072,4,0.13
5888,6,0.52
3096,5,0.37
2072,4,0.329999999999999
2397,5,0.19
3072,4,0.16
4096,5,0.22
2072,4,0.32
1547,4,0.32
3583,5,0.369999999999999
4864,5,0.33
3072,4,0.17
1048,3,0.100000000000001
4096,5,0.37
3072,4,0.35
6656,6,0.619999999999999
4096,5,0.200000000000001
3072,4,0.17
24,2,0.0500000000000007
1052,4,0.0999999999999996
2072,4,0.139999999999999
5632,5,0.390000000000001
3072,4,0.15
5632,5,0.4
4096,5,0.199999999999999
4096,5,0.23
3072,4,0.19
3072,4,0.18
38,4,0.0600000000000005
4096,5,0.210000000000001
4096,5,0.219999999999999
3120,5,0.17
6656,6,0.450000000000001
3072,4,0.17
2072,4,0.109999999999999
3072,4,0.369999999999999
1024,2,0.110000000000001
3072,4,0.34
2100,5,0.33
3120,5,0.369999999999999
3840,4,0.24
4096,5,0.390000000000001
2096,4,0.139999999999999
4144,6,0.380000000000001
4096,5,0.4
2048,3,0.319999999999999
4864,5,0.290000000000003
4096,5,0.43
4096,5,0.219999999999999
4096,5,0.379999999999999
3072,4,0.350000000000001
3072,4,0.359999999999999
3072,4,0.16
34,3,0.0500000000000007
4096,5,0.189999999999998
3072,4,0.150000000000002
3072,4,0.149999999999999
2048,3,0.109999999999999
0,1,0.0400000000000027
2048,3,0.109999999999999
7424,6,0.52
1072,3,0.0700000000000003
2048,3,0.0999999999999979
5632,5,0.350000000000001
3072,4,0.140000000000001
4864,5,0.289999999999999
3072,4,0.170000000000002
4120,6,0.239999999999998
3096,5,0.18
3072,4,0.190000000000001
3072,4,0.140000000000001
1072,3,0.0899999999999999
3072,4,0.18
3072,4,0.18
3072,4,0.189999999999998
2048,3,0.140000000000001
2048,3,0.109999999999999
1024,2,0.0800000000000018
3072,4,0.169999999999998
4864,5,0.32
5120,6,0.280000000000001
3072,4,0.190000000000001
3072,4,0.140000000000001
1024,2,0.0799999999999983
3072,4,0.190000000000001
4864,5,0.32
4608,4,0.329999999999998
4096,5,0.239999999999998
7168,5,0.560000000000002
5888,6,0.359999999999999
2048,3,0.129999999999999
3072,4,0.350000000000001
1048,3,0.27
3072,4,0.359999999999999
2048,3,0.120000000000001
3072,4,0.18
2048,3,0.109999999999999
3072,4,0.199999999999999
2048,3,0.150000000000002
2048,3,0.149999999999999
3072,4,0.150000000000002
3072,4,0.169999999999998
4096,5,0.379999999999999
2072,4,0.330000000000002
4096,5,0.41
2104,5,0.329999999999998
3840,4,0.27
3072,4,0.350000000000001
3072,4,0.370000000000001
2559,4,0.27
3072,4,0.259999999999998
2072,4,0.23
4096,5,0.25
3072,4,0.330000000000002
4864,5,0.48
3072,4,0.280000000000001
3840,4,0.349999999999994
1078,4,0.200000000000003
3072,4,0.200000000000003
4864,5,0.489999999999995
3072,4,0.359999999999999
4120,6,0.330000000000005
2048,3,0.239999999999995
3072,4,0.290000000000006
3080,5,0.189999999999998
1048,3,0.100000000000001
5888,6,0.359999999999999
2048,3,0.329999999999998
2046,4,0.310000000000002
1054,4,0.279999999999994
3072,4,0.170000000000002
