Evaluations, Played
161, 4
161, 4
161, 4
161, 4
161, 4
161, 4
161, 4
161, 4
161, 4
161, 4
106, 4
106, 6
106, 5
106, 4
106, 6
106, 5
106, 6
106, 6
106, 5
106, 6
106, 5
106, 5
106, 5
106, 4
106, 5
106, 5
106, 5
106, 4
106, 4
106, 6
376, 5
376, 5
376, 4
376, 5
376, 4
376, 5
376, 4
376, 5
376, 5
376, 5
376, 4
376, 6
376, 5
376, 5
376, 5
376, 4
376, 4
376, 5
376, 5
376, 5
376, 5
376, 4
376, 4
376, 6
376, 5
376, 5
376, 5
376, 4
376, 6
376, 5
376, 5
376, 4
376, 5
376, 5
376, 4
376, 5
376, 5
376, 4
376, 4
376, 4
50, 4
50, 4
50, 4
50, 6
50, 4
50, 4
50, 5
50, 4
50, 4
50, 6
106, 5
106, 6
106, 6
106, 4
106, 6
106, 4
106, 6
106, 5
106, 4
106, 6
4, 2
4, 2
4, 3
4, 3
4, 3
4, 2
4, 3
4, 3
4, 3
4, 3
106, 4
106, 4
106, 5
106, 6
106, 4
106, 4
106, 3
106, 5
106, 3
106, 6
106, 4
106, 5
106, 4
106, 4
106, 6
106, 4
106, 6
106, 4
106, 4
106, 5
106, 3
106, 6
106, 3
106, 4
106, 5
106, 4
106, 5
106, 4
106, 5
106, 6
106, 4
106, 3
106, 4
106, 5
106, 3
106, 4
106, 3
106, 6
106, 4
106, 6
24, 7
24, 5
24, 6
24, 4
24, 7
24, 4
24, 7
24, 6
24, 7
24, 6
5, 3
5, 4
5, 3
5, 3
5, 3
5, 2
5, 3
5, 2
5, 3
5, 3
50, 4
50, 5
50, 4
50, 5
50, 5
50, 4
50, 4
50, 6
50, 4
50, 5
50, 4
50, 4
50, 4
50, 3
50, 4
50, 3
50, 6
50, 4
50, 5
50, 6
50, 5
50, 4
50, 4
50, 4
50, 5
50, 5
50, 3
50, 5
50, 4
50, 4
50, 4
50, 4
50, 4
50, 4
50, 4
50, 4
50, 6
50, 4
50, 5
50, 5
50, 5
50, 4
50, 3
50, 3
50, 6
50, 4
50, 3
50, 6
50, 4
50, 4
161, 4
161, 5
161, 5
161, 5
161, 6
161, 4
161, 6
161, 5
161, 5
161, 4
106, 4
106, 4
106, 5
106, 6
106, 6
106, 5
106, 4
106, 4
106, 5
106, 4
106, 6
106, 4
106, 4
106, 4
106, 4
106, 3
106, 6
106, 5
106, 5
106, 4
376, 4
376, 6
376, 5
376, 5
376, 5
376, 4
376, 5
376, 5
376, 4
376, 5
376, 5
376, 4
376, 5
376, 4
376, 4
376, 5
376, 4
376, 4
376, 5
376, 5
376, 3
376, 5
376, 6
376, 4
376, 4
376, 3
376, 4
376, 5
376, 4
376, 4
376, 5
376, 4
376, 4
376, 5
376, 3
376, 4
376, 5
376, 4
376, 4
376, 5
161, 5
161, 6
161, 5
161, 5
161, 4
161, 4
161, 4
161, 5
161, 4
161, 4
106, 5
106, 5
106, 4
106, 5
106, 5
106, 5
106, 4
106, 5
106, 4
106, 5
106, 4
106, 5
106, 5
106, 4
106, 5
106, 6
106, 5
106, 4
106, 4
106, 4
376, 6
376, 6
376, 4
376, 6
376, 4
376, 4
376, 3
376, 4
376, 3
376, 6
376, 5
376, 5
376, 4
376, 5
376, 5
376, 4
376, 5
376, 5
376, 5
376, 5
376, 4
376, 5
376, 4
376, 5
376, 3
376, 5
376, 3
376, 4
376, 5
376, 5
376, 4
376, 4
376, 6
376, 3
376, 5
376, 4
376, 4
376, 4
376, 4
376, 4
161, 4
161, 4
161, 6
161, 4
161, 5
161, 4
161, 5
161, 4
161, 5
161, 4
106, 5
106, 3
106, 4
106, 5
106, 4
106, 4
106, 4
106, 4
